customer_id,customer_type,primary_sales_channel,first_order_day_fk
K0100097,B2C,Offline,20170117
K0100437,B2C,Offline,20170118
K0100451,B2C,Offline,20170118
K0100585,B2C,Offline,20170119
K0100681,B2C,Offline,20170120
K0100688,B2C,Offline,20170120
K0100696,B2C,Offline,20170120
K0100822,B2C,Offline,20170121
K0100834,B2C,Offline,20170121
K0101334,B2C,Offline,20170123
K0101350,B2C,Offline,20170123
K0101368,B2C,Offline,20170123
K0101575,B2C,Offline,20170124
K0101610,B2C,Offline,20170124
K0101618,B2C,Offline,20170124
K0101619,B2C,Offline,20170124
K0101637,B2C,Offline,20170124
K0101782,B2C,Offline,20170125
K0101794,B2C,Offline,20170125
K0101801,B2C,Offline,20170125
K0101968,B2C,Offline,20170126
K0101976,B2C,Offline,20170126
K0101978,B2C,Offline,20170126
K0101987,B2C,Offline,20170126
K0102069,B2C,Offline,20170127
K0102074,B2C,Offline,20170127
K0102077,B2C,Offline,20170127
K0102139,B2C,Offline,20170128
K0102170,B2C,Offline,20170128
K0102968,B2C,Offline,20170131
K0102993,B2C,Offline,20170131
K0103372,B2C,Offline,20170202
K0103379,B2C,Offline,20170202
K0103429,B2C,Offline,20170203
K0103431,B2C,Offline,20170203
K0103435,B2C,Offline,20170203
K0103439,B2C,Offline,20170203
K0103494,B2C,Offline,20170204
K0103503,B2C,Offline,20170204
K0103863,B2C,Offline,20170206
K0103880,B2C,Offline,20170206
K0103904,B2C,Offline,20170206
K0104289,B2C,Offline,20170208
K0104389,B2C,Offline,20170209
K0104492,B2C,Offline,20170210
K0104508,B2C,Offline,20170210
K0104527,B2C,Offline,20170211
K0104529,B2C,Offline,20170211
K0104896,B2C,Offline,20170213
K0104909,B2C,Offline,20170213
K0105158,B2C,Offline,20170214
K0105181,B2C,Offline,20170214
K0105216,B2C,Offline,20170214
K0105406,B2C,Offline,20170215
K0109030,B2C,Online,20170313
K0111639,B2C,Offline,20170401
K0112025,B2C,Offline,20170409
K0112026,B2C,Online,20170412
K0112027,B2C,Offline,20170423
K0112030,B2C,Offline,20170430
K0112034,B2C,Online,20170503
K0112035,B2C,Offline,20170506
K0112037,B2C,Offline,20170507
K0112038,B2C,Offline,20170514
K0112039,B2C,Offline,20170514
K0112042,B2C,Offline,20170527
K0112047,B2C,Offline,20170610
K0112048,B2C,Offline,20170610
K0112049,B2C,Offline,20170617
K0112050,B2C,Offline,20170618
K0112052,B2C,Offline,20170625
K0146407,B2C,Offline,20170103
K0146462,B2C,Offline,20170103
K0146483,B2C,Offline,20170104
K0146493,B2C,Offline,20170104
K0146497,B2C,Offline,20170106
K0146503,B2C,Offline,20170104
K0146515,B2C,Offline,20170109
K0146525,B2C,Offline,20170105
K0146546,B2C,Offline,20170106
K0146553,B2C,Offline,20170106
K0146556,B2C,Offline,20170106
K0146569,B2C,Offline,20170107
K0146572,B2C,Offline,20170107
K0146573,B2C,Offline,20170107
K0146574,B2C,Offline,20170107
K0146581,B2C,Offline,20170107
K0146585,B2C,Offline,20170109
K0146586,B2C,Offline,20170109
K0146587,B2C,Offline,20170109
K0146592,B2C,Offline,20170109
K0146596,B2C,Offline,20170109
K0146614,B2C,Offline,20170110
K0146618,B2C,Offline,20170112
K0146626,B2C,Offline,20170111
K0146656,B2C,Offline,20170112
K0146678,B2C,Offline,20170114
K0146685,B2C,Offline,20170114
K0146687,B2C,Offline,20170114
K0146695,B2C,Offline,20170116
K0146724,B2C,Offline,20170126
K0146730,B2C,Offline,20170117
K0146735,B2C,Offline,20170117
K0146763,B2C,Offline,20170118
K0146766,B2C,Offline,20170118
K0146768,B2C,Offline,20170118
K0146770,B2C,Offline,20170119
K0146772,B2C,Offline,20170119
K0146779,B2C,Offline,20170119
K0146782,B2C,Offline,20170119
K0146793,B2C,Offline,20170120
K0146794,B2C,Offline,20170120
K0146799,B2C,Offline,20170120
K0146800,B2C,Offline,20170120
K0146803,B2C,Offline,20170120
K0146806,B2C,Offline,20170120
K0146811,B2C,Offline,20170121
K0146815,B2C,Offline,20170121
K0146820,B2C,Offline,20170121
K0146822,B2C,Offline,20170121
K0146824,B2C,Offline,20170121
K0146836,B2C,Online,20170123
K0146860,B2C,Online,20170125
K0146862,B2C,Offline,20170125
K0146886,B2C,Offline,20170126
K0146903,B2C,Offline,20170126
K0146906,B2C,Offline,20170126
K0146908,B2C,Offline,20170126
K0146914,B2C,Offline,20170128
K0146925,B2C,Offline,20170127
K0146936,B2C,Offline,20170128
K0146941,B2C,Offline,20170128
K0146942,B2C,Offline,20170128
K0146952,B2C,Offline,20170128
K0146962,B2C,Offline,20170130
K0146963,B2C,Offline,20170130
K0146988,B2C,Offline,20170131
K0147014,B2C,Offline,20170131
K0147073,B2C,Offline,20170201
K0147076,B2C,Offline,20170201
K0147092,B2C,Offline,20170202
K0147094,B2C,Offline,20170202
K0147097,B2C,Offline,20170202
K0147121,B2C,Offline,20170203
K0147125,B2C,Offline,20170203
K0147128,B2C,Offline,20170203
K0147138,B2C,Offline,20170204
K0147147,B2C,Offline,20170204
K0147155,B2C,Offline,20170204
K0147161,B2C,Offline,20170206
K0147163,B2C,Offline,20170206
K0147175,B2C,Offline,20170207
K0147177,B2C,Offline,20170207
K0147181,B2C,Offline,20170207
K0147190,B2C,Offline,20170208
K0147195,B2C,Offline,20170208
K0147198,B2C,Offline,20170208
K0147205,B2C,Offline,20170209
K0147207,B2C,Offline,20170209
K0147212,B2C,Offline,20170209
K0147224,B2C,Online,20170213
K0147225,B2C,Offline,20170213
K0147227,B2C,Offline,20170213
K0147233,B2C,Offline,20170213
K0147238,B2C,Offline,20170213
K0147249,B2C,Offline,20170214
K0166153,B2C,Offline,20170102
K0166154,B2C,Offline,20170102
K0166158,B2C,Offline,20170102
K0166160,B2C,Offline,20170102
K0166166,B2C,Offline,20170102
K0166169,B2C,Offline,20170102
K0166173,B2C,Offline,20170102
K0166176,B2C,Offline,20170104
K0166178,B2C,Offline,20170104
K0166179,B2C,Offline,20170105
K0166183,B2C,Offline,20170105
K0166184,B2C,Offline,20170105
K0166189,B2C,Offline,20170106
K0166192,B2C,Offline,20170106
K0166199,B2C,Offline,20170106
K0166200,B2C,Offline,20170106
K0166201,B2C,Offline,20170106
K0166203,B2C,Offline,20170106
K0166204,B2C,Offline,20170107
K0166206,B2C,Offline,20170107
K0166207,B2C,Offline,20170107
K0166209,B2C,Offline,20170107
K0166211,B2C,Offline,20170107
K0166216,B2C,Offline,20170107
K0166217,B2C,Offline,20170107
K0166220,B2C,Offline,20170107
K0166221,B2C,Offline,20170107
K0166223,B2C,Offline,20170107
K0166225,B2C,Offline,20170108
K0166228,B2C,Offline,20170108
K0166231,B2C,Offline,20170108
K0166232,B2C,Offline,20170108
K0166234,B2C,Offline,20170108
K0166235,B2C,Offline,20170108
K0166236,B2C,Offline,20170108
K0166237,B2C,Offline,20170108
K0166239,B2C,Offline,20170108
K0166241,B2C,Offline,20170108
K0166245,B2C,Offline,20170108
K0166246,B2C,Offline,20170108
K0166248,B2C,Offline,20170108
K0166249,B2C,Offline,20170108
K0166252,B2C,Offline,20170108
K0166254,B2C,Offline,20170108
K0166255,B2C,Offline,20170108
K0166256,B2C,Offline,20170108
K0166257,B2C,Offline,20170108
K0166260,B2C,Offline,20170108
K0166262,B2C,Offline,20170108
K0166265,B2C,Offline,20170108
K0166268,B2C,Offline,20170108
K0166269,B2C,Offline,20170108
K0166270,B2C,Offline,20170108
K0166272,B2C,Offline,20170108
K0166274,B2C,Offline,20170108
K0166275,B2C,Offline,20170108
K0166277,B2C,Offline,20170108
K0166283,B2C,Offline,20170108
K0166284,B2C,Offline,20170108
K0166285,B2C,Offline,20170108
K0166286,B2C,Offline,20170108
